4.179533	4.303425	4.484739	4.51028	4.574292
4.591994	4.657007	4.782625	4.784994	4.819809
4.864048	4.874373	4.874894	4.948572	4.961977
4.995508	5.016242	5.049454	5.057921	5.076354
5.077765	5.096866	5.097125	5.105414	5.107834
5.111257	5.137309	5.167096	5.182604	5.189432
5.202683	5.251798	5.301242	5.328787	5.329761
5.336436	5.356339	5.392824	5.393201	5.393441
5.396582	5.448491	5.50549	5.521595	5.533592
5.629677	5.664395	5.681706	5.79609	5.799337
5.824705	5.838546	5.848078	5.853221	5.866453
5.875741	5.964405	5.974807	5.986084	6.002933
6.00384	6.071867	6.077255	6.092104	6.115705
6.178742	6.196624	6.232607	6.240542	6.245426
6.265095	6.296272	6.299187	6.303625	6.355276
6.39655	6.409732	6.422731	6.469612	6.501824
6.536061	6.561963	6.6204	6.685174	6.690916
6.708312	6.753087	6.78384	6.829083	7.035353
7.040926	7.088927	7.117816	7.216165	7.286425
7.387632	7.399677	7.574375	8.089239	8.166403
